dates,prices
2019-02-20,63.555
2019-02-21,63.36
2019-02-22,63.79
2019-02-25,64.105
2019-02-26,63.11
2019-02-27,62.59
2019-02-28,62.615
2019-03-01,63.035
2019-03-04,63.215
2019-03-05,63.5
2019-03-06,63.325
2019-03-07,62.86
2019-03-08,62.705
2019-03-11,63.165
2019-03-12,63.65
2019-03-13,63.33
2019-03-14,63.045
2019-03-15,63.445
2019-03-18,63.855
2019-03-19,64.14
2019-03-20,63.83
2019-03-21,65.11
2019-03-22,63.45
2019-03-25,63.36
2019-03-26,63.51
2019-03-27,63.09
2019-03-28,63.545
2019-03-29,64.325
2019-04-01,64.595
2019-04-02,65.035
2019-04-03,65.06
2019-04-04,65.235
2019-04-05,65.825
2019-04-08,65.63
2019-04-09,65.59
2019-04-10,65.41
2019-04-11,65.49
2019-04-12,65.6
2019-04-15,65.56
2019-04-16,66.13
2019-04-17,66.13
2019-04-18,66.145
2019-04-23,66.9
2019-04-24,66.725
2019-04-25,66.715
2019-04-26,66.815
2019-04-29,67.035
2019-04-30,66.305
2019-05-01,66.4
2019-05-02,65.925
2019-05-03,65.955
2019-05-07,65.125
2019-05-08,65.21
2019-05-09,64.11
2019-05-10,64.17
2019-05-13,63.885
2019-05-14,64.74
2019-05-15,65.18
2019-05-16,66.245
2019-05-17,66.235
2019-05-20,65.56
2019-05-21,65.75
2019-05-22,66.32
2019-05-23,65.44
2019-05-24,65.54
2019-05-28,65.64
2019-05-29,65.01
2019-05-30,65.3
2019-05-31,64.86
2019-06-03,64.9
2019-06-04,65.18
2019-06-05,65.44
2019-06-06,65.75
2019-06-07,66.465
2019-06-10,67.25
2019-06-11,67.12
2019-06-12,66.72
2019-06-13,67.03
2019-06-14,67.155
2019-06-17,67.555
2019-06-18,68.445
2019-06-19,68.015
2019-06-20,68.395
2019-06-21,68.485
2019-06-24,68.32
2019-06-25,68.06
2019-06-26,68.05
2019-06-27,67.61
2019-06-28,67.755
2019-07-01,68.615
2019-07-02,69.005
2019-07-03,69.525
2019-07-04,69.76
2019-07-05,69.54
2019-07-08,69.42
2019-07-09,69.535
2019-07-10,69.6
2019-07-11,69.51
2019-07-12,69.535
2019-07-15,69.96
2019-07-16,70.49
2019-07-17,70.08
2019-07-18,69.44
2019-07-19,69.77
2019-07-22,69.56
2019-07-23,70.0
2019-07-24,69.93
2019-07-25,69.93
2019-07-26,70.585
2019-07-29,71.495
2019-07-30,71.545
2019-07-31,71.2
2019-08-01,71.6
2019-08-02,69.65
2019-08-05,68.27
2019-08-06,67.98
2019-08-07,68.11
2019-08-08,69.47
2019-08-09,69.315
2019-08-12,69.195
2019-08-13,69.755
2019-08-14,68.32
2019-08-15,67.785
2019-08-16,68.5
2019-08-19,69.36
2019-08-20,69.04
2019-08-21,69.44
2019-08-22,68.62
2019-08-23,67.785
2019-08-27,67.625
2019-08-28,68.065
2019-08-29,69.02
2019-08-30,69.02
2019-09-02,69.715
2019-09-03,69.38
2019-09-04,69.59
2019-09-05,69.705
2019-09-06,70.08
2019-09-09,69.82
2019-09-10,69.49
2019-09-11,70.205
2019-09-12,70.735
2019-09-13,70.29
