dates,prices
2019-06-24,45.525
2019-06-25,45.2
2019-06-26,45.5625
2019-06-27,45.3575
2019-06-28,45.2775
2019-07-01,46.215
2019-07-02,46.3925
2019-07-03,46.265
2019-07-04,46.5625
2019-07-05,46.3225
2019-07-08,46.14
2019-07-09,46.1825
2019-07-10,46.45
2019-07-11,46.1575
2019-07-12,46.04
2019-07-15,46.515
2019-07-16,47.02
2019-07-17,46.7225
2019-07-18,46.45
2019-07-19,46.5725
2019-07-22,46.4175
2019-07-23,46.53
2019-07-24,46.38
2019-07-25,46.2825
2019-07-26,46.5525
2019-07-29,47.075
2019-07-30,47.045
2019-07-31,46.755
2019-08-01,46.95
2019-08-02,45.31
2019-08-05,43.875
2019-08-06,44.035
2019-08-07,44.11
2019-08-08,45.0125
2019-08-09,44.69
2019-08-12,44.425
2019-08-13,45.02
2019-08-14,43.915
2019-08-15,43.765
2019-08-16,44.255
2019-08-19,44.6525
2019-08-20,44.57
2019-08-21,44.7975
2019-08-22,44.0075
2019-08-23,43.5775
2019-08-27,43.555
2019-08-28,43.8075
2019-08-29,44.43
2019-08-30,44.6275
2019-09-02,45.1225
2019-09-03,44.8725
2019-09-04,45.2125
2019-09-05,45.16
2019-09-06,45.54
2019-09-09,45.305
2019-09-10,45.1725
2019-09-11,45.6775
2019-09-12,46.04
2019-09-13,45.9275
2019-09-16,45.91
2019-09-17,45.405
2019-09-18,45.325
2019-09-19,45.3175
2019-09-20,45.2875
2019-09-23,45.42
2019-09-24,44.94
2019-09-25,45.02
2019-09-26,44.6375
2019-09-27,45.035
2019-09-30,44.7225
2019-10-01,44.575
2019-10-02,43.96
2019-10-03,43.92
2019-10-04,44.5675
2019-10-07,44.495
2019-10-08,44.5
2019-10-09,44.62
2019-10-10,44.8175
2019-10-11,44.355
2019-10-14,44.3725
2019-10-15,44.0975
2019-10-16,43.825
2019-10-17,43.995
2019-10-18,43.9025
2019-10-21,43.4725
2019-10-22,43.8275
2019-10-23,43.91
2019-10-24,44.335
2019-10-25,44.4375
2019-10-28,44.6875
2019-10-29,44.4
2019-10-30,44.36
2019-10-31,43.9975
2019-11-01,44.625
2019-11-04,45.2375
2019-11-05,45.4975
2019-11-06,45.52
2019-11-07,45.955
2019-11-08,45.6875
2019-11-11,45.0
2019-11-12,44.97
2019-11-13,44.46
2019-11-14,44.35
2019-11-15,44.68
2019-11-18,44.4475
2019-11-19,44.61
2019-11-20,44.73
2019-11-21,44.42
2019-11-22,44.835
2019-11-25,44.95
2019-11-26,44.825
2019-11-27,44.85
2019-11-28,44.8325
2019-11-29,44.36
2019-12-02,44.225
2019-12-03,43.7425
2019-12-04,43.9
2019-12-05,43.935
2019-12-06,44.21
2019-12-09,44.11
2019-12-10,43.99
2019-12-11,44.365
2019-12-12,45.09
2019-12-13,44.505
2019-12-16,45.0325
2019-12-17,45.895
2019-12-18,46.36
2019-12-19,46.6575
2019-12-20,46.6325
2019-12-23,47.15
2019-12-24,47.115
2019-12-27,47.0075
2019-12-30,46.7775
2019-12-31,46.375
2020-01-02,47.33
2020-01-03,47.23
2020-01-06,46.5825
2020-01-07,46.8
2020-01-08,46.9
2020-01-09,47.4725
2020-01-10,47.74
2020-01-13,48.3825
2020-01-14,48.15
2020-01-15,47.9275
2020-01-16,47.915
2020-01-17,48.19
2020-01-20,48.15
2020-01-21,47.26
2020-01-22,47.05
2020-01-23,46.29
2020-01-24,46.745
2020-01-27,44.76
2020-01-28,45.5675
2020-01-29,45.795
2020-01-30,44.525
2020-01-31,43.62
2020-02-03,44.77
2020-02-04,46.045
2020-02-05,46.26
2020-02-06,46.48
2020-02-07,45.91
2020-02-10,45.88
2020-02-11,46.5525
2020-02-12,46.855
2020-02-13,46.25
2020-02-14,46.265
2020-02-17,46.57
2020-02-18,45.8875
2020-02-19,46.68
2020-02-20,46.26
2020-02-21,45.8575
2020-02-24,44.245
2020-02-25,43.91
2020-02-26,44.57
2020-02-27,43.5475
2020-02-28,42.335
2020-03-02,43.34
2020-03-03,43.99
2020-03-04,44.0475
2020-03-05,43.615
2020-03-06,41.695
2020-03-09,38.64
2020-03-10,39.745
2020-03-11,39.9525
2020-03-12,35.845
2020-03-13,38.335
2020-03-16,36.5425
2020-03-17,37.675
2020-03-18,36.19
2020-03-19,36.1175
2020-03-20,37.0525
2020-03-23,36.2425
2020-03-24,37.95
2020-03-25,38.795
2020-03-26,38.9275
2020-03-27,36.2575
2020-03-30,36.545
2020-03-31,37.3575
2020-04-01,36.185
2020-04-02,36.7625
2020-04-03,36.73
2020-04-06,38.1525
2020-04-07,38.8875
2020-04-08,38.46
2020-04-09,38.95
2020-04-14,38.9075
2020-04-15,38.17
2020-04-16,38.8025
2020-04-17,38.925
2020-04-20,39.265
2020-04-21,38.43
2020-04-22,39.295
2020-04-23,39.425
2020-04-24,38.6875
2020-04-27,39.365
2020-04-28,39.5025
2020-04-29,40.3175
2020-04-30,39.695
2020-05-01,38.3125
2020-05-04,38.5975
2020-05-05,39.2075
2020-05-06,39.2675
2020-05-07,39.53
2020-05-11,40.19
2020-05-12,40.7575
2020-05-13,40.4725
2020-05-14,40.025
2020-05-15,40.1
2020-05-18,41.24
2020-05-19,41.385
2020-05-20,41.62
2020-05-21,40.9875
2020-05-22,40.5
2020-05-26,41.0875
2020-05-27,41.0425
2020-05-28,41.09
2020-05-29,40.8675
2020-06-01,41.5025
